year,marital,age,race,income
2000,Never married,25,White,6500
2000,Never married,28,Black,25000
2000,Married,54,White,12500
2000,Married,44,Other,25000
2000,Married,42,White,25000
2000,Never married,19,White,3500
2000,Married,43,White,25000
2000,Divorced,59,White,25000
2000,Married,52,White,25000
2000,Married,40,White,25000
2000,Never married,50,White,25000
2000,Married,36,White,25000
2000,Married,45,White,25000
2000,Divorced,71,White,25000
2000,Married,58,Black,25000
2000,Married,31,White,25000
2000,Never married,25,White,25000
2000,Never married,34,Other,17500
2000,Never married,48,White,25000
2000,Never married,26,White,22500
2000,Divorced,35,White,25000
2000,Married,42,White,25000
2000,Married,52,Black,22500
2000,Divorced,27,White,25000
2000,Never married,38,Black,25000
2000,Never married,42,Other,25000
2000,Married,52,White,25000
2000,Married,50,Other,25000
2000,Separated,44,White,25000
2000,Married,38,White,25000
2000,Married,53,Other,25000
2000,Married,36,White,25000
2000,Divorced,68,White,22500
2000,Married,45,White,25000
2000,Divorced,34,White,25000
2000,Never married,26,White,9000
2000,Married,49,White,25000
2000,Married,59,White,17500
2000,Married,37,Other,25000
2000,Married,35,Other,2000
2000,Married,42,Other,25000
2000,Married,46,White,22500
2000,Married,53,White,25000
2000,Never married,28,White,25000
2000,Married,54,White,25000
2000,Married,38,White,22500
2000,Married,32,White,2000
2000,Married,53,White,25000
2000,Never married,20,White,5500
2000,Married,46,White,25000
2000,Married,41,White,25000
2000,Divorced,53,White,25000
2000,Divorced,73,White,6500
2000,Married,35,White,25000
2000,Never married,37,Black,25000
2000,Married,41,Other,22500
2000,Never married,38,White,25000
2000,Married,34,White,25000
2000,Never married,39,Other,25000
2000,Divorced,56,White,25000
2000,Divorced,52,White,22500
2000,Divorced,36,White,25000
2000,Married,28,White,25000
2000,Divorced,61,White,25000
2000,Divorced,47,White,25000
2000,Divorced,38,Black,25000
2000,Widowed,38,White,25000
2000,Divorced,54,White,22500
2000,Never married,31,White,2000
2000,Divorced,26,Black,25000
2000,Widowed,42,Other,25000
2000,Married,41,Black,25000
2000,Never married,25,White,17500
2000,Never married,30,White,22500
2000,Married,34,White,3500
2000,Married,52,White,25000
2000,Married,52,White,12500
2000,Never married,32,Black,22500
2000,Married,37,White,25000
2000,Married,32,Other,22500
2000,Married,28,Black,17500
2000,Married,35,Other,25000
2000,Widowed,48,Black,25000
2000,Never married,30,White,22500
2000,Married,66,Other,17500
2000,Married,25,White,17500
2000,Married,54,White,22500
2000,Married,31,Other,25000
2000,Separated,36,Black,25000
2000,Widowed,60,White,17500
2000,Divorced,35,Black,25000
2000,Never married,25,White,25000
2000,Never married,38,White,25000
2000,Married,53,White,17500
2000,Married,52,White,25000
2000,Never married,44,Black,1000
2000,Married,42,Black,17500
2000,Never married,20,Black,2000
2000,Married,42,Black,17500
2000,Married,43,White,17500
2000,Never married,57,White,25000
2000,Never married,56,Black,25000
2000,Never married,34,Black,17500
2000,Never married,25,Other,3500
2000,Never married,24,Black,25000
2000,Never married,32,Black,17500
2000,Married,38,Other,25000
2000,Married,59,White,25000
2000,Divorced,29,White,7500
2000,Married,29,White,17500
2000,Never married,25,White,25000
2000,Never married,40,White,25000
2000,Never married,55,White,25000
2000,Married,38,White,25000
2000,Divorced,25,White,25000
2000,Married,42,White,25000
2000,Widowed,62,Black,6500
2000,Widowed,48,Black,5500
2000,Never married,31,Black,12500
2000,Married,48,White,25000
2000,Married,48,White,4500
2000,Married,44,White,25000
2000,Married,36,Other,25000
2000,Never married,29,Black,9000
2000,Married,51,Other,17500
2000,Married,40,Other,25000
2000,Divorced,62,Other,25000
2000,Never married,33,Other,25000
2000,Married,59,Other,17500
2000,Married,49,White,25000
2000,Never married,41,Other,25000
2000,Married,35,Black,3500
2000,Never married,25,Black,25000
2000,Married,63,Black,1000
2000,Married,37,Other,25000
2000,Separated,47,Other,9000
2000,Never married,29,White,25000
2000,Married,25,Other,25000
2000,Married,35,White,25000
2000,Divorced,53,White,25000
2000,Married,49,White,22500
2000,Married,45,White,25000
2000,Married,52,White,25000
2000,Married,36,White,25000
2000,Married,41,White,25000
2000,Widowed,62,White,22500
2000,Never married,34,White,25000
2000,Divorced,48,White,25000
2000,Married,38,White,2000
2000,Married,54,White,25000
2000,Married,32,White,25000
2000,Never married,39,Other,25000
2000,Never married,27,Other,25000
2000,Never married,23,White,7500
2000,Never married,22,Other,25000
2000,Married,33,White,25000
2000,Never married,24,White,25000
2000,Married,51,White,25000
2000,Married,37,White,25000
2000,Married,51,White,25000
2000,Never married,54,White,25000
2000,Never married,52,White,25000
2000,Never married,27,Other,12500
2000,Married,47,White,2000
2000,Never married,23,White,17500
2000,Married,47,White,25000
2000,Never married,37,Black,22500
2000,Married,35,Other,25000
2000,Divorced,48,Other,22500
2000,Widowed,72,White,9000
2000,Never married,40,White,25000
2000,Married,36,Black,22500
2000,Never married,65,White,25000
2000,Separated,56,White,25000
2000,Never married,23,White,17500
2000,Separated,62,Black,17500
2000,Married,40,White,7500
2000,Never married,42,White,22500
2000,Never married,26,White,22500
2000,Never married,25,White,22500
2000,Divorced,40,White,25000
2000,Never married,27,Black,17500
2000,Married,39,White,25000
2000,Married,46,Black,17500
2000,Never married,61,Other,25000
2000,Separated,46,White,17500
2000,Divorced,53,White,25000
2000,Divorced,32,White,25000
2000,Divorced,51,White,2000
2000,Divorced,50,White,25000
2000,Married,46,White,22500
2000,Separated,42,White,25000
2000,Never married,31,White,25000
2000,Married,47,White,25000
2000,Married,45,White,4500
2000,Married,45,White,25000
2000,Married,32,White,25000
2000,Married,31,White,22500
2000,Married,40,White,17500
2000,Never married,18,White,2000
2000,Widowed,44,Black,17500
2000,Never married,35,Black,2000
2000,Never married,31,Black,25000
2000,Married,37,White,25000
2000,Never married,19,White,4500
2000,Never married,28,White,17500
2000,Married,31,White,25000
2000,Married,33,White,12500
2000,Married,56,White,25000
2000,Married,30,White,25000
2000,Never married,22,White,17500
2000,Divorced,57,White,22500
2000,Separated,44,White,22500
2000,Divorced,38,White,25000
2000,Married,60,White,12500
2000,Married,21,White,2000
2000,Married,35,White,25000
2000,Married,49,White,25000
2000,Married,37,White,25000
2000,Married,61,White,12500
2000,Never married,23,White,17500
2000,Divorced,62,White,3500
2000,Married,41,White,12500
2000,Divorced,47,White,25000
2000,Never married,40,White,2000
2000,Never married,22,White,6500
2000,Never married,32,White,9000
2000,Never married,26,White,22500
2000,Married,57,White,22500
2000,Married,33,White,17500
2000,Never married,20,Other,6500
2000,Divorced,56,White,22500
2000,Married,44,White,17500
2000,Married,57,White,25000
2000,Never married,27,White,17500
2000,Never married,26,Other,22500
2000,Divorced,,White,22500
2000,Married,31,White,25000
2000,Married,37,White,25000
2000,Married,52,Other,17500
2000,Divorced,45,White,25000
2000,Married,63,White,25000
2000,Married,36,Other,25000
2000,Married,73,White,2000
2000,Widowed,81,White,5500
2000,Separated,52,White,25000
2000,Married,49,White,25000
2000,Married,42,White,12500
2000,Married,54,White,25000
2000,Married,65,White,7500
2000,Married,53,White,25000
2000,Married,36,Black,25000
2000,Married,48,White,9000
2000,Married,36,White,25000
2000,Married,43,White,25000
2000,Married,24,White,17500
2000,Married,25,White,25000
2000,Married,32,White,12500
2000,Married,51,White,25000
2000,Married,43,White,9000
2000,Married,58,White,25000
2000,Married,52,White,25000
2000,Never married,56,White,25000
2000,Never married,22,White,25000
2000,Married,45,White,25000
2000,Widowed,46,White,25000
2000,Married,36,White,12500
2000,Married,32,White,25000
2000,Never married,26,White,17500
2000,Never married,24,White,25000
2000,Divorced,44,White,12500
2000,Divorced,44,White,3500
2000,Never married,35,White,25000
2000,Divorced,47,White,12500
2000,Never married,21,White,25000
2000,Divorced,54,White,7500
2000,Married,45,White,12500
2000,Married,38,White,17500
2000,Never married,20,White,5500
2000,Married,32,White,1000
2000,Divorced,34,White,17500
2000,Divorced,44,White,12500
2000,Never married,30,White,25000
2000,Never married,39,White,25000
2000,Divorced,48,White,6500
2000,Married,34,White,25000
2000,Married,61,White,17500
2000,Never married,47,White,25000
2000,Married,44,White,17500
2000,Separated,44,Black,12500
2000,Married,36,White,17500
2000,Never married,46,White,25000
2000,Married,36,White,25000
2000,Married,38,White,12500
2000,Widowed,68,White,12500
2000,Married,46,White,12500
2000,Never married,26,White,25000
2000,Widowed,76,White,9000
2000,Never married,28,White,17500
2000,Divorced,38,White,25000
2000,Married,67,White,25000
2000,Divorced,53,White,25000
2000,Separated,37,Black,5500
2000,Married,28,White,22500
2000,Married,30,Black,12500
2000,Married,75,White,22500
2000,Never married,18,White,4500
2000,Married,75,White,25000
2000,Never married,40,White,22500
2000,Married,62,White,6500
2000,Married,44,White,25000
2000,Married,32,Other,17500
2000,Never married,23,White,12500
2000,Separated,37,White,22500
2000,Married,31,White,25000
2000,Married,49,White,25000
2000,Married,66,White,25000
2000,Separated,46,Black,25000
2000,Married,41,White,12500
2000,Separated,39,White,17500
2000,Married,51,White,25000
2000,Divorced,46,White,12500
2000,Never married,25,White,22500
2000,Never married,31,Black,22500
2000,Married,37,White,25000
2000,Never married,52,White,12500
2000,Divorced,61,White,25000
2000,Married,59,White,25000
2000,Married,28,White,17500
2000,Never married,31,White,3500
2000,Divorced,31,White,4500
2000,Never married,21,White,3500
2000,Never married,31,White,17500
2000,Divorced,70,White,3500
2000,Married,31,White,17500
2000,Married,31,White,12500
2000,Married,53,White,25000
2000,Married,45,White,25000
2000,Married,39,White,1000
2000,Married,55,White,25000
2000,Married,52,White,25000
2000,Married,60,White,25000
2000,Married,30,Black,25000
2000,Married,48,White,17500
2000,Never married,21,White,2000
2000,Married,37,White,2000
2000,Never married,20,White,9000
2000,Divorced,71,White,9000
2000,Married,19,White,17500
2000,Never married,29,White,12500
2000,Divorced,44,White,25000
2000,Never married,26,Black,25000
2000,Never married,41,White,25000
2000,Never married,32,White,4500
2000,Married,55,White,25000
2000,Married,38,White,25000
2000,Divorced,49,White,25000
2000,Separated,24,White,25000
2000,Separated,24,White,12500
2000,Married,35,White,12500
2000,Divorced,41,White,25000
2000,Divorced,56,White,17500
2000,Married,20,White,4500
2000,Never married,27,White,17500
2000,Divorced,42,White,25000
2000,Divorced,50,White,25000
2000,Never married,22,Other,2000
2000,Never married,26,White,9000
2000,Never married,43,White,25000
2000,Married,44,Black,22500
2000,Married,46,Black,22500
2000,Divorced,26,White,22500
2000,Married,44,White,25000
2000,Divorced,31,Other,17500
2000,Married,39,White,25000
2000,Married,51,White,25000
2000,Married,56,White,25000
2000,Divorced,49,Other,17500
2000,Never married,35,White,12500
2000,Separated,61,White,22500
2000,Never married,32,White,17500
2000,Married,56,White,25000
2000,Married,35,White,25000
2000,Married,46,White,25000
2000,Married,39,White,12500
2000,Never married,34,White,25000
2000,Never married,28,White,25000
2000,Married,47,White,9000
2000,Divorced,42,White,12500
2000,Married,37,White,25000
2000,Married,40,White,12500
2000,Never married,42,White,6500
2000,Married,43,White,22500
2000,Divorced,41,White,25000
2000,Never married,61,White,25000
2000,Married,49,White,22500
2000,Married,59,White,12500
2000,Never married,35,Black,25000
2000,Separated,37,White,17500
2000,Never married,41,White,25000
2000,Divorced,44,White,25000
2000,Married,37,Other,5500
2000,Married,47,White,25000
2000,Married,38,White,25000
2000,Married,27,White,25000
2000,Never married,22,White,9000
2000,Married,58,White,25000
2000,Divorced,56,White,25000
2000,Never married,42,White,25000
2000,Married,36,White,12500
2000,Married,44,White,25000
2000,Married,21,White,17500
2000,Married,23,White,25000
2000,Married,22,White,6500
2000,Married,41,White,7500
2000,Divorced,52,White,25000
2000,Separated,53,White,25000
2000,Married,52,White,25000
2000,Married,26,White,25000
2000,Separated,30,White,25000
2000,Never married,18,Black,5500
2000,Never married,54,White,25000
2000,Divorced,34,White,12500
2000,Married,33,White,2000
2000,Married,25,White,12500
2000,Separated,30,White,1000
2000,Married,42,White,9000
2000,Never married,28,White,9000
2000,Married,37,White,25000
2000,Married,39,White,12500
2000,Married,36,White,12500
2000,Divorced,51,Black,6500
2000,Married,23,White,12500
2000,Married,44,White,9000
2000,Divorced,39,White,17500
2000,Divorced,34,White,25000
2000,Married,45,Black,2000
2000,Married,61,White,25000
2000,Married,56,White,12500
2000,Married,21,Other,12500
2000,Married,38,White,25000
2000,Separated,36,White,25000
2000,Married,41,Black,12500
2000,Married,36,Other,25000
2000,Separated,24,Other,7500
2000,Married,43,Other,22500
2000,Married,63,White,25000
2000,Married,46,White,25000
2000,Separated,27,Other,25000
2000,Married,22,Other,7500
2000,Never married,19,White,1000
2000,Married,24,White,25000
2000,Never married,40,Other,25000
2000,Never married,24,Other,5500
2000,Married,40,White,25000
2000,Married,33,Other,1000
2000,Divorced,39,White,12500
2000,Married,43,Other,9000
2000,Married,41,White,22500
2000,Married,59,White,25000
2000,Married,50,White,25000
2000,Married,53,White,25000
2000,Married,42,White,3500
2000,Married,67,Other,25000
2000,Married,41,White,5500
2000,Divorced,43,Other,25000
2000,Married,60,White,25000
2000,Married,35,White,25000
2000,Never married,30,White,2000
2000,Never married,36,White,17500
2000,Divorced,26,White,22500
2000,Married,32,White,3500
2000,Divorced,81,White,1000
2000,Never married,37,White,25000
2000,Divorced,63,White,12500
2000,Divorced,45,White,25000
2000,Married,60,White,25000
2000,Married,56,Black,25000
2000,Separated,44,Black,25000
2000,Never married,22,White,22500
2000,Married,50,White,25000
2000,Never married,25,White,25000
2000,Married,43,Other,22500
2000,Divorced,51,White,25000
2000,Never married,28,White,25000
2000,Married,45,White,25000
2000,Married,24,White,25000
2000,Married,43,White,25000
2000,Married,32,White,25000
2000,Married,25,White,25000
2000,Married,22,White,12500
2000,Married,30,White,25000
2000,Never married,24,White,12500
2000,Never married,25,White,17500
2000,Never married,32,White,9000
2000,Divorced,49,White,25000
2000,Married,72,White,17500
2000,Married,37,White,17500
2000,Married,49,White,22500
2000,Never married,24,White,9000
2000,Married,40,White,25000
2000,Never married,81,White,1000
2000,Married,42,White,17500
2000,Never married,40,White,25000
2000,Married,52,White,22500
2000,Never married,40,Black,25000
2000,Never married,19,White,12500
2000,Never married,24,Other,9000
2000,Married,60,White,22500
2000,Married,45,White,12500
2000,Divorced,45,White,25000
2000,Divorced,54,White,25000
2000,Divorced,56,White,12500
2000,Married,32,Black,22500
2000,Married,29,White,7500
2000,Married,31,White,25000
2000,Married,39,White,4500
2000,Married,48,White,12500
2000,Married,41,White,25000
2000,Never married,36,White,5500
2000,Never married,23,White,1000
2000,Never married,39,White,25000
2000,Never married,46,White,22500
2000,Never married,21,White,12500
2000,Never married,34,White,17500
2000,Widowed,54,White,22500
2000,Married,23,White,3500
2000,Married,43,White,25000
2000,Never married,28,White,22500
2000,Divorced,45,White,25000
2000,Widowed,77,White,12500
2000,Married,47,White,25000
2000,Married,66,White,25000
2000,Divorced,37,White,25000
2000,Never married,35,White,25000
2000,Divorced,73,White,2000
2000,Married,42,Black,25000
2000,Married,37,Other,25000
2000,Divorced,57,White,25000
2000,Never married,39,White,25000
2000,Divorced,33,White,17500
2000,Divorced,30,White,1000
2000,Separated,26,Black,22500
2000,Married,52,Black,25000
2000,Separated,38,White,5500
2000,Divorced,35,Black,25000
2000,Married,28,White,17500
2000,Never married,44,White,17500
2000,Never married,29,Black,22500
2000,Never married,45,White,25000
2000,Separated,45,Black,6500
2000,Divorced,63,White,25000
2000,Divorced,42,White,25000
2000,Married,48,Black,25000
2000,Married,46,White,25000
2000,Divorced,42,White,25000
2000,Never married,19,White,2000
2000,Married,41,Black,12500
2000,Married,41,White,25000
2000,Widowed,28,Black,22500
2000,Divorced,46,White,12500
2000,Never married,46,Black,25000
2000,Married,43,White,25000
2000,Married,27,Other,25000
2000,Married,39,Black,25000
2000,Married,38,White,25000
2000,Never married,36,White,2000
2000,Married,29,White,25000
2000,Divorced,63,White,25000
2000,Divorced,52,White,25000
2000,Divorced,32,White,3500
2000,Married,41,White,25000
2000,Divorced,68,White,12500
2000,Married,51,White,9000
2000,Married,27,White,12500
2000,Divorced,47,White,12500
2000,Separated,51,White,25000
2000,Married,40,White,1000
2000,Married,41,Black,25000
2000,Divorced,44,Black,22500
2000,Divorced,45,White,5500
2000,Divorced,52,White,22500
2000,Married,31,White,22500
2000,Never married,25,White,25000
2000,Married,59,White,17500
2000,Never married,21,White,12500
2000,Married,31,White,22500
2000,Never married,25,White,1000
2000,Divorced,49,White,25000
2000,Never married,33,Black,12500
2000,Married,60,White,25000
2000,Married,30,White,22500
2000,Divorced,51,White,22500
2000,Married,31,White,25000
2000,Never married,29,White,17500
2000,Never married,25,White,25000
2000,Married,34,Black,25000
2000,Married,57,White,2000
2000,Married,48,White,25000
2000,Married,42,White,25000
2000,Married,55,White,25000
2000,Divorced,41,White,25000
2000,Married,42,White,25000
2000,Never married,19,White,2000
2000,Married,49,White,25000
2000,Married,26,White,17500
2000,Married,38,White,25000
2000,Married,44,White,25000
2000,Married,52,White,25000
2000,Never married,25,White,1000
2000,Divorced,49,White,22500
2000,Never married,33,White,17500
2000,Divorced,56,White,2000
2000,Never married,34,White,7500
2000,Never married,24,White,9000
2000,Divorced,29,Other,22500
2000,Never married,19,Other,22500
2000,Never married,26,White,2000
2000,Divorced,47,White,22500
2000,Married,28,White,25000
2000,Divorced,42,White,25000
2000,Separated,26,Other,22500
2000,Never married,69,White,12500
2000,Married,29,White,25000
2000,Never married,29,Black,12500
2000,Married,47,Other,25000
2000,Married,40,Other,25000
2000,Never married,58,Black,22500
2000,Divorced,38,Black,25000
2000,Divorced,53,White,25000
2000,Married,59,White,25000
2000,Married,35,White,22500
2000,Divorced,52,White,17500
2000,Married,38,White,9000
2000,Married,53,White,25000
2000,Married,28,White,25000
2000,Never married,44,White,25000
2000,Never married,39,White,25000
2000,Never married,32,White,17500
2000,Divorced,46,White,25000
2000,Divorced,38,White,22500
2000,Never married,24,White,12500
2000,Never married,25,White,12500
2000,Never married,29,White,12500
2000,Married,26,White,22500
2000,Never married,44,White,25000
2000,Never married,24,White,25000
2000,Never married,34,White,25000
2000,Divorced,45,Other,17500
2000,Never married,41,White,25000
2000,Married,46,White,25000
2000,Married,33,White,25000
2000,Never married,26,White,3500
2000,Never married,22,White,5500
2000,Married,44,White,25000
2000,Married,30,White,25000
2000,Separated,42,White,2000
2000,Married,29,White,25000
2000,Married,33,White,25000
2000,Married,26,White,25000
2000,Divorced,30,Black,25000
2000,Divorced,52,White,25000
2000,Never married,53,White,25000
2000,Married,30,White,25000
2000,Never married,47,White,25000
2000,Never married,24,White,25000
2000,Divorced,50,White,25000
2000,Divorced,56,White,22500
2000,Never married,43,Black,17500
2000,Separated,37,Black,12500
2000,Divorced,54,Black,12500
2000,Never married,33,Black,2000
2000,Never married,21,Black,2000
2000,Married,44,Black,9000
2000,Divorced,42,Black,17500
2000,Married,30,White,25000
2000,Divorced,25,Black,17500
2000,Married,28,White,17500
2000,Married,44,Black,6500
2000,Married,29,White,17500
2000,Married,25,White,22500
2000,Never married,38,White,25000
2000,Never married,25,White,25000
2000,Never married,25,White,25000
2000,Married,46,White,25000
2000,Never married,79,White,1000
2000,Married,61,White,25000
2000,Widowed,61,White,22500
2000,Married,44,White,22500
2000,Married,24,White,25000
2000,Married,34,Black,25000
2000,Divorced,36,White,25000
2000,Married,37,White,25000
2000,Divorced,29,White,25000
2000,Married,32,White,25000
2000,Married,35,White,22500
2000,Never married,42,White,22500
2000,Married,29,White,25000
2000,Divorced,59,White,25000
2000,Never married,28,White,25000
2000,Married,32,Black,22500
2000,Divorced,38,White,22500
2000,Married,42,Black,22500
2000,Widowed,64,White,25000
2000,Never married,24,White,25000
2000,Married,23,White,22500
2000,Divorced,50,White,25000
2000,Separated,34,White,17500
2000,Never married,42,White,25000
2000,Married,57,White,25000
2000,Separated,47,Black,22500
2000,Never married,21,White,1000
2000,Divorced,38,White,25000
2000,Married,51,Black,25000
2000,Married,60,White,25000
2000,Divorced,50,Black,25000
2000,Never married,41,White,17500
2000,Never married,47,White,25000
2000,Married,59,White,22500
2000,Never married,19,White,2000
2000,Separated,57,White,25000
2000,Divorced,62,White,17500
2000,Never married,36,White,12500
2000,Never married,37,White,25000
2000,Never married,52,White,12500
2000,Never married,19,Other,2000
2000,Never married,40,White,17500
2000,Married,40,Black,17500
2000,Divorced,47,White,25000
2000,Never married,59,White,12500
2000,Married,35,White,2000
2000,Married,40,White,12500
2000,Never married,50,White,25000
2000,Never married,30,White,25000
2000,Married,48,White,22500
2000,Married,48,White,12500
2000,Married,40,White,25000
2000,Married,33,White,25000
2000,Divorced,40,White,12500
2000,Never married,19,White,9000
2000,Married,38,White,25000
2000,Never married,25,Black,25000
2000,Separated,26,White,3500
2000,Divorced,56,White,5500
2000,Separated,43,Black,12500
2000,Married,43,White,25000
2000,Divorced,43,White,22500
2000,Married,31,White,2000
2000,Married,63,White,17500
2000,Married,24,White,3500
2000,Separated,40,White,22500
2000,Divorced,42,White,4500
2000,Divorced,36,Black,22500
2000,Married,32,White,25000
2000,Never married,33,White,25000
2000,Married,26,White,25000
2000,Never married,44,White,9000
2000,Married,40,Black,25000
2000,Never married,22,White,12500
2000,Married,27,White,17500
2000,Married,33,White,25000
2000,Never married,34,White,22500
2000,Widowed,24,Black,5500
2000,Separated,46,Black,12500
2000,Married,40,Black,17500
2000,Married,30,White,25000
2000,Married,38,White,1000
2000,Never married,33,White,3500
2000,Married,38,White,17500
2000,Divorced,36,White,25000
2000,Married,70,White,25000
2000,Never married,34,White,25000
2000,Married,69,White,25000
2000,Married,46,White,17500
2000,Married,30,White,25000
2000,Married,33,Black,9000
2000,Widowed,47,White,25000
2000,Married,42,White,25000
2000,Never married,24,White,12500
2000,Married,54,Other,25000
2000,Married,42,White,4500
2000,Married,48,Black,25000
2000,Never married,23,White,12500
2000,No answer,28,Other,12500
2000,Never married,30,White,25000
2000,Never married,24,White,12500
2000,Married,50,Black,22500
2000,Married,33,White,25000
2000,Never married,31,Other,17500
2000,Never married,32,White,25000
2000,Married,66,Black,25000
2000,Divorced,48,White,25000
